Annee;Trage;Scenario;Pop
2022;"[0;5[";INSEE_2022;43 132
2022;"[5;10[";INSEE_2022;44 969
2022;"[10;15[";INSEE_2022;45 083
2022;"[15;20[";INSEE_2022;58 480
2022;"[20;25[";INSEE_2022;79 103
2022;"[25;30[";INSEE_2022;65 426
2022;"[30;35[";INSEE_2022;62 437
2022;"[35;40[";INSEE_2022;56 978
2022;"[40;45[";INSEE_2022;55 418
2022;"[45;50[";INSEE_2022;53 163
2022;"[50;55[";INSEE_2022;51 145
2022;"[55;60[";INSEE_2022;46 284
2022;"[60;65[";INSEE_2022;41 317
2022;"[65;70[";INSEE_2022;38 183
2022;"[70;75[";INSEE_2022;33 402
2022;"[75;80[";INSEE_2022;25 632
2022;"[80;85[";INSEE_2022;18 602
2022;"[85;90[";INSEE_2022;14 162
2022;"[90;95[";INSEE_2022;7 970
2022;"[95;100[";INSEE_2022;2 507
2022;"[100;105]";INSEE_2022;341
2022;"[0;5[";1_Tendanciel;42 435
2022;"[5;10[";1_Tendanciel;43 505
2022;"[10;15[";1_Tendanciel;47 068
2022;"[15;20[";1_Tendanciel;60 797
2022;"[20;25[";1_Tendanciel;82 355
2022;"[25;30[";1_Tendanciel;71 280
2022;"[30;35[";1_Tendanciel;63 967
2022;"[35;40[";1_Tendanciel;61 894
2022;"[40;45[";1_Tendanciel;58 837
2022;"[45;50[";1_Tendanciel;56 680
2022;"[50;55[";1_Tendanciel;51 643
2022;"[55;60[";1_Tendanciel;49 117
2022;"[60;65[";1_Tendanciel;42 846
2022;"[65;70[";1_Tendanciel;37 901
2022;"[70;75[";1_Tendanciel;33 720
2022;"[75;80[";1_Tendanciel;33 631
2022;"[80;85[";1_Tendanciel;22 517
2022;"[85;90[";1_Tendanciel;13 303
2022;"[90;95[";1_Tendanciel;7 978
2022;"[95;100[";1_Tendanciel;2 744
2022;"[100;105]";1_Tendanciel;645
2022;"[0;5[";2_Basse;41 635
2022;"[5;10[";2_Basse;43 517
2022;"[10;15[";2_Basse;47 081
2022;"[15;20[";2_Basse;60 808
2022;"[20;25[";2_Basse;82 362
2022;"[25;30[";2_Basse;71 286
2022;"[30;35[";2_Basse;63 971
2022;"[35;40[";2_Basse;61 897
2022;"[40;45[";2_Basse;58 834
2022;"[45;50[";2_Basse;56 667
2022;"[50;55[";2_Basse;51 616
2022;"[55;60[";2_Basse;49 070
2022;"[60;65[";2_Basse;42 777
